title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1565840,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,198329,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100815,
Crash,movie,Drama,1996,tt0115964,6.4,69407,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,261453,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116886,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,286164,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,195219,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183669,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176513,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,755320,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,487677,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,403220,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174631,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1510394,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117627,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,260756,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88459,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118967,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173505,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123707,
300,movie,"Action, Drama",2006,tt0416449,7.6,889427,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,137379,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39718,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,288674,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,189384,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,144928,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,605817,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8463,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,134214,
